Date,Open,High,Low,Close,Volume
2022-01-03,174.768,179.736,174.65,178.878,106533302
2022-01-04,179.49,179.793,176.04,176.613,101048190
2022-01-05,176.525,177.075,171.635,171.912,96191839
2022-01-06,169.661,172.287,168.689,169.042,98599598
2022-01-07,169.921,171.142,168.086,169.212,88226399
2022-01-10,166.165,169.534,165.277,169.232,108633756
2022-01-11,169.361,172.167,167.88,172.068,77470594
2022-01-12,173.093,174.128,171.812,172.511,76114127
2022-01-13,172.76,173.587,168.835,169.232,85984457
2022-01-14,168.393,170.799,168.145,170.101,81848347
2022-01-18,168.561,169.573,166.492,166.875,92764016
2022-01-19,167.073,168.135,163.089,163.376,96474080
2022-01-20,164.117,166.756,161.356,161.681,93020208
2022-01-21,161.594,163.475,159.503,159.611,124998489
2022-01-24,157.277,159.503,152.035,158.831,165553758
2022-01-25,156.251,159.956,154.319,157.039,117824628
2022-01-26,160.685,161.564,155.108,156.951,110169929
2022-01-27,159.65,161.022,155.562,156.488,124088622
2022-01-28,162.864,167.416,159.996,167.396,183084207
2022-01-31,167.23,171.989,166.589,171.772,117563358
2022-02-01,171.023,171.832,169.351,171.605,87722497
2022-02-02,171.732,172.857,170.352,172.818,86400101
2022-02-03,171.478,173.21,169.162,169.931,90982728
2022-02-04,168.942,171.32,167.959,169.642,83801628
2022-02-07,170.11,171.171,168.225,168.923,78502944
2022-02-08,168.992,172.55,168.699,172.039,76041713
2022-02-09,173.24,173.832,172.108,173.468,72440105
2022-02-10,171.359,172.68,168.815,169.38,92338245
2022-02-11,169.583,170.322,165.357,165.947,100269498
2022-02-14,164.698,166.875,163.908,166.185,87582037
2022-02-15,168.245,170.196,167.535,170.041,65327983
2022-02-16,169.112,170.58,167.337,169.801,62168686
2022-02-17,168.304,169.172,165.78,166.185,70716935
2022-02-18,167.113,167.821,163.544,164.628,84113882
2022-02-22,162.351,164.038,159.562,161.701,92639914
2022-02-23,162.904,163.504,157.208,157.523,91467712
2022-02-24,150.152,160.252,149.578,160.145,143434625
2022-02-25,161.227,162.489,158.311,162.224,93464526
2022-02-28,160.46,162.785,159.838,162.489,96596879
2022-03-01,162.065,163.948,159.386,160.596,84827003
2022-03-02,161.771,164.688,160.35,163.908,81016570
2022-03-03,165.78,166.215,162.914,163.582,77920901
2022-03-04,161.867,162.914,159.512,160.567,85177763
2022-03-07,160.755,162.39,156.508,156.763,97981169
2022-03-08,156.291,160.282,153.313,154.93,133273342
2022-03-09,158.901,160.804,156.873,160.35,92936795
2022-03-10,157.64,157.828,153.491,155.993,107048943
2022-03-11,156.4,156.743,152.035,152.26,98541358
2022-03-14,149.036,151.659,147.707,148.218,110493952
2022-03-15,148.496,153.088,147.984,152.614,94470650
2022-03-16,154.547,157.453,151.995,157.049,103957778
2022-03-17,156.083,158.429,155.118,158.055,76840610
2022-03-18,157.947,161.857,157.218,161.366,125513014
2022-03-21,160.904,163.702,160.42,162.746,97363832
2022-03-22,162.874,166.716,162.284,166.125,82853111
2022-03-23,165.307,169.891,164.973,167.496,99651633
2022-03-24,168.334,171.359,167.496,171.29,91591863
2022-03-25,171.103,172.481,170.001,171.931,81851286
2022-03-28,169.428,172.927,169.262,172.799,91836258
2022-03-29,173.87,176.157,173.528,176.107,102219341
2022-03-30,175.705,176.748,173.88,174.936,94134135
2022-03-31,175.006,175.193,171.615,171.822,104719045
2022-04-01,171.25,172.088,169.202,171.527,80027375
2022-04-04,171.782,175.646,171.654,175.596,77786296
2022-04-05,174.669,175.457,171.635,172.267,74591152
2022-04-06,169.613,170.866,167.416,169.092,90501847
2022-04-07,168.432,170.6,167.142,169.398,78851955
2022-04-08,169.042,169.042,166.502,167.376,77816299
2022-04-11,166.015,166.334,162.864,163.109,73417356
2022-04-12,165.337,167.161,163.988,164.983,80549554
2022-04-13,164.718,168.314,164.117,167.683,71763198
2022-04-14,167.9,168.541,162.41,162.656,76549975
2022-04-18,161.306,163.938,160.962,162.439,70142371
2022-04-19,162.39,165.139,161.296,164.728,68821196
2022-04-20,166.065,166.185,163.455,164.558,69030514
2022-04-21,166.215,168.795,163.268,163.77,88641163
2022-04-22,163.809,165.188,158.921,159.207,86257816
2022-04-25,158.547,160.567,155.936,160.282,97602664
2022-04-26,159.66,159.75,154.22,154.299,97172672
2022-04-27,153.422,157.247,152.901,154.071,89490123
2022-04-28,156.713,161.887,156.4,161.032,132326761
2022-04-29,159.257,163.554,154.743,155.138,133882343
2022-05-02,154.21,155.709,150.832,155.443,125049192
2022-05-03,155.63,158.143,153.828,156.941,90408095
2022-05-04,157.129,163.829,156.723,163.376,110010637
2022-05-05,161.237,161.464,152.476,154.27,132640242
2022-05-06,153.749,157.129,151.945,155.0,117833144
2022-05-09,152.679,153.57,149.295,149.855,133513776
2022-05-10,153.265,154.468,150.713,152.27,117064082
2022-05-11,151.275,153.197,143.697,144.378,144789166
2022-05-12,140.702,144.08,136.787,140.493,185288595
2022-05-13,142.492,145.958,141.033,144.978,115667956
2022-05-16,143.44,145.38,142.091,143.43,87918538
2022-05-17,146.702,147.597,144.552,147.075,79488785
2022-05-18,144.72,145.223,137.87,138.777,111357495
2022-05-19,137.85,139.606,134.62,135.358,138097963
2022-05-20,137.073,138.659,130.686,135.595,139448023
2022-05-23,135.792,141.182,135.654,141.033,119458326
2022-05-24,138.762,139.913,135.339,138.327,105664811
2022-05-25,136.423,139.73,136.334,138.482,93843358
2022-05-26,135.398,142.248,135.151,141.694,91934534
2022-05-27,143.281,147.509,143.153,147.471,92317035
2022-05-31,146.907,148.476,144.71,146.682,105244385
2022-06-01,147.727,149.54,145.539,146.556,75379586
2022-06-02,145.688,149.076,144.73,149.016,73412484
2022-06-03,144.77,145.826,142.363,143.271,89873389
2022-06-06,144.899,146.415,142.8,144.02,72651779
2022-06-07,142.252,146.84,142.012,146.556,68805785
2022-06-08,146.426,147.697,145.32,145.816,54743949
2022-06-09,144.948,145.806,140.463,140.572,70495105
2022-06-10,138.247,138.717,135.072,135.141,92913822
2022-06-13,130.943,133.239,129.535,129.968,124005085
2022-06-14,131.2,131.95,129.575,130.834,86031725
2022-06-15,132.342,135.348,130.244,133.465,92879661
2022-06-16,130.165,130.471,127.169,128.175,109549904
2022-06-17,128.18,131.151,127.928,129.653,136499435
2022-06-21,131.484,135.072,131.388,133.901,82192217
2022-06-22,132.836,135.763,131.968,133.386,74489276
2022-06-23,134.837,136.581,133.665,136.265,73499458
2022-06-24,137.87,139.853,137.744,139.606,90427979
2022-06-27,140.627,141.412,138.921,139.606,71240850
2022-06-28,140.069,141.344,135.334,135.447,68305712
2022-06-29,135.467,138.629,134.688,137.211,67217010
2022-06-30,135.26,136.364,131.835,134.738,100420493
2022-07-01,134.067,137.024,133.694,136.915,72096906
2022-07-05,135.773,139.557,134.944,139.507,74509983
2022-07-06,139.305,142.032,139.036,140.847,75153933
2022-07-07,141.212,144.425,141.202,144.229,67228474
2022-07-08,143.157,145.41,142.9,144.909,65497465
2022-07-11,143.559,144.512,141.694,142.77,64236497
2022-07-12,143.648,146.296,142.949,143.744,78730292
2022-07-13,140.917,144.328,140.059,143.38,72232886
2022-07-14,141.992,146.79,141.173,146.316,79290399
2022-07-15,147.607,148.675,146.05,147.994,77381914
2022-07-18,148.556,149.373,144.572,144.938,82618782
2022-07-19,145.776,149.036,144.78,148.81,84203255
2022-07-20,148.907,151.491,148.188,150.822,65777135
2022-07-21,152.26,153.313,149.736,153.098,66044230
2022-07-22,153.137,154.014,151.185,151.855,67656377
